id,category,prompt,practice
1,Body,Prompt 1 text (final content from Paojilhuasca v3).,Practice 1 instructions for this prompt.
2,Body,Prompt 2 text (final content from Paojilhuasca v3).,Practice 2 instructions for this prompt.
3,Body,Prompt 3 text (final content from Paojilhuasca v3).,Practice 3 instructions for this prompt.
4,Body,Prompt 4 text (final content from Paojilhuasca v3).,Practice 4 instructions for this prompt.
5,Body,Prompt 5 text (final content from Paojilhuasca v3).,Practice 5 instructions for this prompt.
6,Body,Prompt 6 text (final content from Paojilhuasca v3).,Practice 6 instructions for this prompt.
7,Body,Prompt 7 text (final content from Paojilhuasca v3).,Practice 7 instructions for this prompt.
8,Body,Prompt 8 text (final content from Paojilhuasca v3).,Practice 8 instructions for this prompt.
9,Body,Prompt 9 text (final content from Paojilhuasca v3).,Practice 9 instructions for this prompt.
10,Body,Prompt 10 text (final content from Paojilhuasca v3).,Practice 10 instructions for this prompt.
11,Body,Prompt 11 text (final content from Paojilhuasca v3).,Practice 11 instructions for this prompt.
12,Body,Prompt 12 text (final content from Paojilhuasca v3).,Practice 12 instructions for this prompt.
13,Emotion,Prompt 13 text (final content from Paojilhuasca v3).,Practice 13 instructions for this prompt.
14,Emotion,Prompt 14 text (final content from Paojilhuasca v3).,Practice 14 instructions for this prompt.
15,Emotion,Prompt 15 text (final content from Paojilhuasca v3).,Practice 15 instructions for this prompt.
16,Emotion,Prompt 16 text (final content from Paojilhuasca v3).,Practice 16 instructions for this prompt.
17,Emotion,Prompt 17 text (final content from Paojilhuasca v3).,Practice 17 instructions for this prompt.
18,Emotion,Prompt 18 text (final content from Paojilhuasca v3).,Practice 18 instructions for this prompt.
19,Emotion,Prompt 19 text (final content from Paojilhuasca v3).,Practice 19 instructions for this prompt.
20,Emotion,Prompt 20 text (final content from Paojilhuasca v3).,Practice 20 instructions for this prompt.
21,Emotion,Prompt 21 text (final content from Paojilhuasca v3).,Practice 21 instructions for this prompt.
22,Emotion,Prompt 22 text (final content from Paojilhuasca v3).,Practice 22 instructions for this prompt.
23,Emotion,Prompt 23 text (final content from Paojilhuasca v3).,Practice 23 instructions for this prompt.
24,Emotion,Prompt 24 text (final content from Paojilhuasca v3).,Practice 24 instructions for this prompt.
25,Social,Prompt 25 text (final content from Paojilhuasca v3).,Practice 25 instructions for this prompt.
26,Social,Prompt 26 text (final content from Paojilhuasca v3).,Practice 26 instructions for this prompt.
27,Social,Prompt 27 text (final content from Paojilhuasca v3).,Practice 27 instructions for this prompt.
28,Social,Prompt 28 text (final content from Paojilhuasca v3).,Practice 28 instructions for this prompt.
29,Social,Prompt 29 text (final content from Paojilhuasca v3).,Practice 29 instructions for this prompt.
30,Social,Prompt 30 text (final content from Paojilhuasca v3).,Practice 30 instructions for this prompt.
31,Social,Prompt 31 text (final content from Paojilhuasca v3).,Practice 31 instructions for this prompt.
32,Social,Prompt 32 text (final content from Paojilhuasca v3).,Practice 32 instructions for this prompt.
33,Social,Prompt 33 text (final content from Paojilhuasca v3).,Practice 33 instructions for this prompt.
34,Social,Prompt 34 text (final content from Paojilhuasca v3).,Practice 34 instructions for this prompt.
35,Social,Prompt 35 text (final content from Paojilhuasca v3).,Practice 35 instructions for this prompt.
36,Social,Prompt 36 text (final content from Paojilhuasca v3).,Practice 36 instructions for this prompt.
37,Environment,Prompt 37 text (final content from Paojilhuasca v3).,Practice 37 instructions for this prompt.
38,Environment,Prompt 38 text (final content from Paojilhuasca v3).,Practice 38 instructions for this prompt.
39,Environment,Prompt 39 text (final content from Paojilhuasca v3).,Practice 39 instructions for this prompt.
40,Environment,Prompt 40 text (final content from Paojilhuasca v3).,Practice 40 instructions for this prompt.
41,Environment,Prompt 41 text (final content from Paojilhuasca v3).,Practice 41 instructions for this prompt.
42,Environment,Prompt 42 text (final content from Paojilhuasca v3).,Practice 42 instructions for this prompt.
43,Environment,Prompt 43 text (final content from Paojilhuasca v3).,Practice 43 instructions for this prompt.
44,Environment,Prompt 44 text (final content from Paojilhuasca v3).,Practice 44 instructions for this prompt.
45,Environment,Prompt 45 text (final content from Paojilhuasca v3).,Practice 45 instructions for this prompt.
46,Environment,Prompt 46 text (final content from Paojilhuasca v3).,Practice 46 instructions for this prompt.
47,Environment,Prompt 47 text (final content from Paojilhuasca v3).,Practice 47 instructions for this prompt.
48,Environment,Prompt 48 text (final content from Paojilhuasca v3).,Practice 48 instructions for this prompt.
49,Spirit,Prompt 49 text (final content from Paojilhuasca v3).,Practice 49 instructions for this prompt.
50,Spirit,Prompt 50 text (final content from Paojilhuasca v3).,Practice 50 instructions for this prompt.
51,Spirit,Prompt 51 text (final content from Paojilhuasca v3).,Practice 51 instructions for this prompt.
52,Spirit,Prompt 52 text (final content from Paojilhuasca v3).,Practice 52 instructions for this prompt.
53,Spirit,Prompt 53 text (final content from Paojilhuasca v3).,Practice 53 instructions for this prompt.
54,Spirit,Prompt 54 text (final content from Paojilhuasca v3).,Practice 54 instructions for this prompt.
55,Spirit,Prompt 55 text (final content from Paojilhuasca v3).,Practice 55 instructions for this prompt.
56,Spirit,Prompt 56 text (final content from Paojilhuasca v3).,Practice 56 instructions for this prompt.
57,Spirit,Prompt 57 text (final content from Paojilhuasca v3).,Practice 57 instructions for this prompt.
58,Spirit,Prompt 58 text (final content from Paojilhuasca v3).,Practice 58 instructions for this prompt.
59,Spirit,Prompt 59 text (final content from Paojilhuasca v3).,Practice 59 instructions for this prompt.
60,Spirit,Prompt 60 text (final content from Paojilhuasca v3).,Practice 60 instructions for this prompt.
61,Mental,Prompt 61 text (final content from Paojilhuasca v3).,Practice 61 instructions for this prompt.
62,Mental,Prompt 62 text (final content from Paojilhuasca v3).,Practice 62 instructions for this prompt.
63,Mental,Prompt 63 text (final content from Paojilhuasca v3).,Practice 63 instructions for this prompt.
64,Mental,Prompt 64 text (final content from Paojilhuasca v3).,Practice 64 instructions for this prompt.
65,Mental,Prompt 65 text (final content from Paojilhuasca v3).,Practice 65 instructions for this prompt.
66,Mental,Prompt 66 text (final content from Paojilhuasca v3).,Practice 66 instructions for this prompt.
67,Mental,Prompt 67 text (final content from Paojilhuasca v3).,Practice 67 instructions for this prompt.
68,Mental,Prompt 68 text (final content from Paojilhuasca v3).,Practice 68 instructions for this prompt.
69,Mental,Prompt 69 text (final content from Paojilhuasca v3).,Practice 69 instructions for this prompt.
70,Mental,Prompt 70 text (final content from Paojilhuasca v3).,Practice 70 instructions for this prompt.
71,Mental,Prompt 71 text (final content from Paojilhuasca v3).,Practice 71 instructions for this prompt.
72,Mental,Prompt 72 text (final content from Paojilhuasca v3).,Practice 72 instructions for this prompt.
73,Milestone,Prompt 73 text (final content from Paojilhuasca v3).,Practice 73 instructions for this prompt.
74,Milestone,Prompt 74 text (final content from Paojilhuasca v3).,Practice 74 instructions for this prompt.
75,Milestone,Prompt 75 text (final content from Paojilhuasca v3).,Practice 75 instructions for this prompt.
76,Milestone,Prompt 76 text (final content from Paojilhuasca v3).,Practice 76 instructions for this prompt.
77,Milestone,Prompt 77 text (final content from Paojilhuasca v3).,Practice 77 instructions for this prompt.
