id,category,prompt,practice
1,Body,Notice where your body feels alive today—what is it telling you?,Place your hand there and breathe deeply 5 times.
2,Body,What small movement could release tension right now?,Stretch or shake your body gently for 1 minute.
3,Body,How has your relationship with nourishment shifted since ceremony?,"Eat one bite of food slowly, noticing its texture, taste, and warmth as if it were sacred medicine."
4,Body,Where do you feel gratitude in your body at this moment?,"Touch that area and whisper ""thank you."""
5,Body,What signals of the body can you perceive right now? How many simultaneously?,"Close your eyes and list silently each sensation you can perceive, one by one."
6,Body,How can you honor your body?,"Drink water slowly, savoring each sip as medicine."
7,Body,What new rhythms or cycles is your body asking you to follow?,"Describe your resting cycle, including night sleep and daily rests."
8,Body,Write about a time your body surprised you with strength or resilience.,"Stand tall, stretch your arms wide, and breathe in that memory."
9,Body,What part of your body most needs your attention today?,"Breathe into that area, visualizing warmth flowing there."
10,Body,Describe as in a story-telling and with detail the characteristics of any tension or tightness you can feel in your body.,"Breathe into that area, try to bring that tension in your lungs to exhale it, blow it out."
11,Body,In what ways has your sense of embodiment changed after medicine work?,"Walk slowly across the room, noticing each step."
12,Body,What gesture of kindness can you offer your body today?,Give yourself a body massage with oil or practice a conscious bath.
13,Emotion,"Which emotion feels most present right now, and what does it want you to know?",Name it aloud before journaling.
14,Emotion,How has your perception of fear changed after ceremony?,"Concentrate to call your fears to you, as most intense as you can. Face it and observe it, try to watch it without embodying it. If tension arrives, breathe consciously and relax the body, then write about it."
15,Emotion,What emotion feels unfinished and asks to be expressed?,"Allow these emotions to grow and move in your body, then express them before writing."
16,Emotion,Where have you discovered unexpected joy?,Smile intentionally for 10 seconds before you write.
17,Emotion,How does sadness flow through you when you let it move freely?,"Let the sadness increase and sigh, hum, cry."
18,Emotion,What emotion have you learned to welcome rather than resist?,"Open your palms face up, inviting it in."
19,Emotion,Write about an emotion that connects you to your younger self.,"Place your hand on your heart and say, ""I see you."""
20,Emotion,Which feeling is teaching you patience today?,Count 5 slow breaths before journaling.
21,Emotion,What emotion would you like to give more space for in your life?,Expand your chest as you inhale deeply.
22,Emotion,How does love express itself differently in you now?,Write four people's names and send them blessings. Then write your own name and do the same.
23,Emotion,What emotion carries hidden wisdom for you?,Close your eyes and imagine that emotion as a teacher.
24,Emotion,How do you practice compassion toward your difficult feelings?,"Hold your own hand, head, or heart gently and supportively while journaling."
25,Social,"Who has supported your journey, and how can you thank them?",Write a short message of gratitude after journaling.
26,Social,What relationships feel more authentic after your experience?,Smile as you picture their faces.
