Category,Number,Sentence,Practice
BODY,1,Notice which part of your body you feel the most today—what is it telling you?,Place your hand there and breathe deeply 10 times. Observe and listen closely to your body
BODY,2,Do you feel any tension or tightness in your body? Can you describe the sensations? Can you relate it to something that happens to you?,What movement could release that tension right now? Practice for 1 minute.
BODY,3,Has your relationship with nourishment shifted since the medicine experience? How? Why?,"Eat one bite of food slowly, noticing its texture, taste, and warmth as if it were sacred. Can you feel the nourishment in it?"
BODY,4,Connect with the feeling of gratitude. Where do you feel gratitude in your body at this moment?,Touch that area and whisper “thank you.”
BODY,5,What sensations of the body can you perceive right now? How many simultaneously?,"Close your eyes and list silently to each sensation you can perceive, one by one."
BODY,6,How can you honor your body?,"Take time today to honour a gift that you are making for yourself. If there is something that you are waiting to receive, give it to yourself."
BODY,7,What are your daily rhythms or cycles? Are you synchronized with your body’s needs? Is your body asking you to change something?,"Describing your resting cycle, including night sleep and daily rests. What are their effects? When you wake up, are you energized/ tired / satisfied…?"
BODY,8,Write about a time your body surprised you with strength or resilience.,"Stand tall and firm, straighten the spine, open your chest, stretch your arms wide, and breathe in that memory as long as you can."
BODY,9,What part of your body is calling your healing attention today?,"Breathe into that area 10 times, visualizing a warm light carefully flowing there."
BODY,10,"Recall to yourself the last 24 hours. Have you experienced any contraction in your body as a reaction of something that was happening? Notice what you were reacting to, the feelings and the emotions related.","Breathing in, contracting your entire body… stay and tighten as much as you can. When you breathe out, bring the tension in your lungs to exhale it, blow it out. Repeat 3 times."
BODY,11,In what ways has your sense of embodiment changed after the work with the medicine?,"Walk slowly across the room, noticing each step."
BODY,12,What gesture of kindness can you offer your body today?,Give yourself a body massage (you can choose a part of your body) with oil or practice a conscious bath.
EMOTION,13,Which emotion feels most present right now? How do you recognize it? What are its qualities? How does it manifest?,Name it aloud before journaling. Notice how it makes you feel.
EMOTION,14,How has your perception of fear changed after the retreat?,"Concentrate and call your fears to you, as intensely as you can. Face it and observe it, try to watch it without embodying it. If tension arrives, breathe consciously and relax the body, then write about it."
EMOTION,15,What emotion seems to be hidden or stuck? Does you express it like an explosion?,"Allow these emotions to grow and move in your body, then try to express them before writing."
EMOTION,16,Where have you discovered unexpected joy?,Smile intentionally for 10 seconds before you write.
EMOTION,17,How does sadness flow through you when you let it move freely?,"Create sadness. Think about something that makes you sad. Let the sadness increase and…sigh, hum, cry."
EMOTION,18,What emotion have you learned to welcome rather than resist? After acceptance… Do you feel more control of that emotion? Do you react less to it? Do you express it more easily?,"Open your arms, at the height of your shoulders, palms facing up, open your chest and create a space to invite the emotion in."
EMOTION,19,Write about an emotion that connects you to your younger self.,"Place your hand on your heart and say, “I see you.”"
EMOTION,20,"Which emotion or internal state is asking you to develop patience today? It may appear as frustration, restlessness, sadness, confusion, or uncertainty. Rather than trying to change or resolve it, simply recognize it. What is this feeling asking of you? What happens when you allow it to exist without forcing it to go away?","Count 5 slow breaths before journaling, every exhale allows your body to soften and maybe feel more comfortable with your sensations and feelings as they are."
EMOTION,21,What emotion would you like to give more space for in your life?,Check your body and ask yourself: What is space? Where is your space? Can I create more space in my body? Outside it?
EMOTION,22,How do you feel love? Does it express itself differently to you now? How do you express it?,"Write four people’s names, call them to you one by one to send them blessings. Then write your own name and do the same."
EMOTION,23,"Which emotion in you may carry hidden wisdom today? It could be an emotion you usually avoid. Instead of seeing it as a problem, consider the possibility that it is trying to show you something. What might this emotion know that your rational mind does not yet understand? What message, direction, or truth could it be holding?",Close your eyes and feel the emotion present in you now. Imagine it as a teacher. Maybe it emerges like a voice or a shape. Now ask it: what are you here to teach me? When you write let the emotion speak through your words.
EMOTION,24,Can you practice compassion toward yourself? How do you practice compassion toward your difficult feelings? What gesture of support can you do for yourself?,"Hold your own hand, head, or heart — as if you were touching someone else gently and supportively. Smile to yourself. Tell yourself: I am here for you."
SOCIAL,25,"Who has supported your journey? It can be in a practical way, but also it can be by presence and listening. It can be economical, giving you money or allowing you to spend yours. It may be spiritually or throughout previous teachings. How can you thank them?","Write a short message of gratitude after journaling, beginning clearly naming who you are thankful for."
SOCIAL,26,How can your relationships be more authentic after your experience?,"Practice with some of your relationships. Maybe one in the field of family, one from work and a friend. Think about someone that represents each one of the previous areas. Use or find a picture of their face. Sit in front of him/her and tell them how to improve your relationship."
SOCIAL,27,How do you wish to show up differently with others?,"Stand tall in front of a whole mirror to see your entire body; breathe and modify your posture, observing yourself in different physical expressions."
SOCIAL,28,Think about the concept of expression and the way you usually do it. Can you see where and when you feel more authentic? With whom do you feel you cannot express yourself to? Do you feel differences between what you perceive being your truth and what you say?,"Connect with the sensation of honesty, try to revisit a situation in which you feel completely yourself and one other in which you are not honoring yourself. Which body sensations are connected with the two situations, which are the feelings that are connected with one rather than the other."
SOCIAL,29,What community values are most important to you now?,Write your values and circle the three that are most important for you right now.
SOCIAL,30,"Write about a recent interaction, maybe a conversation, that left you something to use for your growth or a sensation of well being.","Close your eyes and replay the conversation, being both yourself and the other. Can you notice where or how that interaction was somehow special?"
SOCIAL,31,How do you want to repair or nurture a relationship that matters?,"Place your hand on your heart and imagine smiling at them; if you feel called, if you feel connected with the idea of forgiveness, check if there is anything that you may have to forgive to yourself or the other person in that relationship."
SOCIAL,32,What’s your opinion about boundaries and limits? What boundaries protect you?,Draw your safe space.
SOCIAL,33,How can you share your insights without needing others to agree? How did others' opinions influence you in your past? Can you see a connection between these previous experiences and the way you communicate today?,"Whisper “My truth is enough.” Allow yourself to embody this mantra without judging, trying to change it, or ignoring how it makes you feel. It's possible that you don't feel what you’re saying is true at the moment. It's okay. You just have to go deeper."
SOCIAL,34,Which connection feels most nourishing at this moment? How does it nourish you?,"Write the name of some people with whom a nourishing relationship is happening or happened. Spend some time connecting with them, and paint around their names symbols and images that are connected to that feeling of nourishment."
SOCIAL,35,Contemplate on “being part of”… Has your sense of belonging changed? How do you feel now? Are you consciously and happily part of a tribe? Can you recognize one or more? Where do you feel out of place?,"Recall one place where you felt fully accepted. Does it exist? If it doesn’t, imagine it right now and write or paint it."
SOCIAL,36,What new forms of service or contribution to your community call to you?,List some actions of service you can do this week and make sure to put them into practice; they can be small—the importance lies in genuine intention.
ENVIRONMENT,37,How has your relationship with nature shifted since the retreat?,"Step outside or look out the window, allow the sight to penetrate you, stay there connected for a few minutes. Notice what you are feeling."
ENVIRONMENT,38,"Write about a place in the natural world that feels like home. There is, maybe, a place that you are used to going to and being. You might have had the feeling of being in a familiar place while traveling.",Close your eyes and recall the memory of its smells and sounds. Notice if any sensations are awakened.
ENVIRONMENT,39,"Write about your conception and relationship with the elements: earth, water, fire, air.",Draw a personal symbol for each of them. Try to be as abstract and intimate as possible. Maybe you are the only one that can see that precise element in your painting.
ENVIRONMENT,40,"Have you ever had the impression that nature —like forests, rivers, or the sky — is communicating with you?","Next time you are going to nature, pause, stop, make silence and listen to surrounding sounds for some minutes."
